Ticker,Date,Open,High,Low,Close,Volume,SMA_20,SMA_50,SMA_100,SMA_200,EMA_20,EMA_50,EMA_100,EMA_200
AMZN,2023-01-03,85.4600,86.9600,84.2100,85.8200,76706000,87.1435,93.9524,109.4531,119.0186,87.2582,94.3996,104.0037,117.3705
AMZN,2023-01-04,86.5500,86.9800,83.3600,85.1400,68885100,86.8500,93.2688,108.8981,118.6381,87.0564,94.0365,103.6301,117.0498
AMZN,2023-01-05,85.3300,85.4200,83.0700,83.1200,67930800,86.5935,92.5348,108.2938,118.2462,86.6815,93.6084,103.2240,116.7122
AMZN,2023-01-06,83.0300,86.4000,81.4300,86.0800,83303400,86.4745,91.8444,107.7228,117.8522,86.6242,93.3132,102.8845,116.4074
AMZN,2023-01-09,87.4600,89.4800,87.0800,87.3600,65266100,86.3250,91.2784,107.1486,117.4720,86.6943,93.0797,102.5771,116.1184
AMZN,2023-01-10,87.5700,90.1900,87.2900,89.8700,67756600,86.3640,90.8566,106.6263,117.1031,86.9968,92.9539,102.3255,115.8572
AMZN,2023-01-11,90.9300,95.2600,90.9300,95.0900,103126200,86.5910,90.6902,106.1542,116.7546,87.7675,93.0376,102.1822,115.6506
AMZN,2023-01-12,96.9300,97.1900,93.5000,95.2700,85254800,86.7300,90.5468,105.7246,116.3860,88.4821,93.1252,102.0453,115.4478
AMZN,2023-01-13,94.1800,98.3700,94.1200,98.1200,85549400,87.0570,90.5734,105.3736,116.0301,89.4000,93.3210,101.9676,115.2753
AMZN,2023-01-17,98.6800,98.8900,95.7300,96.0500,72755000,87.4370,90.6520,104.9979,115.6788,90.0333,93.4281,101.8504,115.0840
AMZN,2023-01-18,97.2500,99.3200,95.3800,95.4600,79570400,87.8170,90.7752,104.6145,115.3411,90.5501,93.5077,101.7239,114.8888
AMZN,2023-01-19,94.7400,95.4400,92.8600,93.6800,69002700,88.2550,90.8292,104.1785,114.9917,90.8482,93.5145,101.5646,114.6778
AMZN,2023-01-20,93.8600,97.3500,93.2000,97.2500,67481500,88.8580,90.9636,103.8435,114.6362,91.4579,93.6610,101.4791,114.5043
AMZN,2023-01-23,97.5600,97.7800,95.8600,97.5200,76501100,89.3955,91.1144,103.5208,114.3036,92.0352,93.8123,101.4007,114.3353
AMZN,2023-01-24,96.9300,98.0900,96.0000,96.3200,66929500,90.0220,91.3180,103.1967,113.9914,92.4433,93.9107,101.3001,114.1561
AMZN,2023-01-25,92.5600,97.2400,91.5200,97.1800,94261600,90.6185,91.3290,102.9008,113.6884,92.8944,94.0389,101.2185,113.9872
AMZN,2023-01-26,98.2400,99.4900,96.9200,99.2200,68523600,91.4275,91.2976,102.6148,113.4122,93.4969,94.2421,101.1790,113.8402
AMZN,2023-01-27,99.5300,103.4900,99.5300,102.2400,87775600,92.4485,91.3726,102.3621,113.1677,94.3295,94.5557,101.2000,113.7248
AMZN,2023-01-30,101.0900,101.7400,99.0100,100.5500,70691900,93.2670,91.4048,102.1065,112.9166,94.9220,94.7908,101.1871,113.5937
AMZN,2023-01-31,101.1600,103.3500,101.1400,103.1300,66527300,94.2235,91.5250,101.8430,112.6545,95.7037,95.1178,101.2256,113.4896
AMZN,2023-02-01,102.5300,106.2400,101.2400,105.1500,80450100,95.1900,91.7310,101.5963,112.4217,96.6033,95.5112,101.3033,113.4066
AMZN,2023-02-02,110.2500,114.0000,108.8800,112.9100,158154200,96.5785,92.1064,101.3927,112.2223,98.1564,96.1935,101.5331,113.4017
AMZN,2023-02-03,105.2600,108.7800,102.5200,103.3900,144374800,97.5920,92.3250,101.0621,111.9487,98.6548,96.4757,101.5699,113.3021
AMZN,2023-02-06,102.9300,103.9500,100.6500,102.1800,81945200,98.3970,92.5046,100.8157,111.6896,98.9905,96.6994,101.5820,113.1914
AMZN,2023-02-07,101.1700,102.4100,98.0800,102.1100,119501300,99.1345,92.6642,100.5513,111.4587,99.2876,96.9116,101.5924,113.0811
AMZN,2023-02-08,102.0400,102.6700,98.7800,100.0500,75878300,99.6435,92.7970,100.2890,111.2372,99.3602,97.0347,101.5619,112.9515
AMZN,2023-02-09,101.3200,101.7800,97.5700,98.2400,64622500,99.8010,92.8828,100.0361,110.9980,99.2535,97.0820,101.4961,112.8051
AMZN,2023-02-10,97.5600,98.8200,96.2300,97.6100,52740100,99.9180,92.9866,99.7656,110.7891,99.0970,97.1027,101.4192,112.6539
AMZN,2023-02-13,97.8500,99.6800,96.9100,99.5400,52841500,99.9890,93.0466,99.5391,110.5960,99.1392,97.1982,101.3819,112.5234
AMZN,2023-02-14,98.4100,100.9200,97.5200,99.7000,56202900,100.1715,93.1306,99.3507,110.3715,99.1926,97.2964,101.3486,112.3958
AMZN,2023-02-15,99.0900,101.1700,98.4500,101.1600,47957600,100.4565,93.2712,99.1892,110.2559,99.3800,97.4479,101.3449,112.2840
AMZN,2023-02-16,99.2100,100.6300,98.1000,98.1500,56339200,100.6800,93.4140,99.0329,110.1241,99.2628,97.4754,101.2816,112.1434
AMZN,2023-02-17,97.8000,97.9400,95.6500,97.2000,60029400,100.6775,93.5930,98.8534,109.9889,99.0664,97.4646,101.2008,111.9947
AMZN,2023-02-21,95.3400,95.6100,94.2700,94.5800,56580400,100.5305,93.7154,98.6551,109.8321,98.6391,97.3515,101.0697,111.8214
AMZN,2023-02-22,95.1000,97.0100,94.8000,95.7900,59534100,100.5040,93.8242,98.4329,109.7291,98.3678,97.2902,100.9652,111.6619
AMZN,2023-02-23,96.1200,96.4300,93.6700,95.8200,48467000,100.4360,93.9588,98.2431,109.6343,98.1251,97.2326,100.8633,111.5043
